crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2023-07-10,13:30,MANHATTAN,,40.558445,-74.195455,POINT (-74.195455 40.558445),ATLANTIC AVENUE,,,0,0,0,0,0,0,0,0,Backing Unsafely,Pavement Slippery,,,,4004756,Pick-up Truck,TAXI,,,
2023-01-05,09:30,BROOKLYN,10612,40.602199,-74.152089,POINT (-74.152089 40.602199),NORTHERN BOULEVARD,QUEENS BOULEVARD,,3,0,0,0,0,0,1,0,Unknown,,Following Too Closely,,,4002586,Sedan,Van,,,
2023-03-14,05:45,BRONX,11659,40.846181,-73.748153,POINT (-73.748153 40.846181),CANAL STREET,,,3,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,Turning Improperly,,,,4004128,Bike,Sedan,,,
2023-11-14,05:15,QUEENS,10707,40.872582,-73.774057,POINT (-73.774057 40.872582),LINDEN BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4001172,TAXI,,,,
2023-11-20,23:45,BROOKLYN,10868,40.804541,-74.240202,POINT (-74.240202 40.804541),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4003262,Pick-up Truck,,,,
2023-03-06,16:30,BRONX,11473,40.535398,-73.954412,POINT (-73.954412 40.535398),BOSTON ROAD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,4000325,Sedan,,,,
2023-12-03,06:30,BROOKLYN,10988,40.590487,-73.745297,POINT (-73.745297 40.590487),QUEENS BOULEVARD,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4001051,Box Truck,,,,
2023-08-06,09:00,BROOKLYN,11313,40.62227,-73.840908,POINT (-73.840908 40.62227),BROADWAY,LINDEN BOULEVARD,,4,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4003076,Bike,TAXI,,,
2023-09-17,02:45,BRONX,10667,40.800937,-74.015436,POINT (-74.015436 40.800937),NORTHERN BOULEVARD,FLATBUSH AVENUE,,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4004556,Pick-up Truck,Sedan,,,
2023-05-11,14:00,MANHATTAN,10039,40.824281,-73.935247,POINT (-73.935247 40.824281),BOSTON ROAD,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4003014,Motorcycle,Pick-up Truck,Box Truck,,
2023-02-19,17:15,,,,,,LINDEN BOULEVARD,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4004004,Sedan,TAXI,,,
2023-09-11,18:00,BROOKLYN,,40.83444,-73.766988,POINT (-73.766988 40.83444),BOSTON ROAD,ATLANTIC AVENUE,,0,1,0,0,0,0,0,0,Turning Improperly,Traffic Control Disregarded,,,,4004546,Van,Van,,,
2023-02-06,21:30,QUEENS,11359,40.82193,-73.911991,POINT (-73.911991 40.82193),CANAL STREET,FLATBUSH AVENUE,,1,0,0,0,1,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4001196,Station Wagon/Sport Utility Vehicle,Van,,,
2023-02-14,15:30,,,,,,QUEENS BOULEVARD,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,4000620,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2023-02-22,10:00,BRONX,11369,,,,BELT PARKWAY,,,2,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4002576,Sedan,Sedan,Unknown,,
2023-10-08,20:45,QUEENS,10234,40.903702,-74.199058,POINT (-74.199058 40.903702),FLATBUSH AVENUE,QUEENS BOULEVARD,PARKING LOT,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4003010,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-05-11,13:00,QUEENS,11570,,,,NORTHERN BOULEVARD,,,3,0,1,0,1,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4001189,Sedan,Bus,,,
2023-10-27,15:45,QUEENS,10541,40.747061,-73.96458,POINT (-73.96458 40.747061),JEROME AVENUE,CANAL STREET,,4,0,1,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,Following Too Closely,,,4000328,Station Wagon/Sport Utility Vehicle,,,,
2023-12-24,17:30,STATEN ISLAND,10202,40.901594,-73.994609,POINT (-73.994609 40.901594),HYLAN BOULEVARD,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4000648,Pick-up Truck,E-Bike,,,
2023-07-12,19:00,MANHATTAN,10370,40.845783,-73.81119,POINT (-73.81119 40.845783),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4000897,Motorcycle,Station Wagon/Sport Utility Vehicle,Box Truck,,
2023-04-23,22:00,MANHATTAN,10689,40.59243,-73.776745,POINT (-73.776745 40.59243),QUEENS BOULEVARD,BROADWAY,,4,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4003936,Station Wagon/Sport Utility Vehicle,,E-Bike,,
2023-12-03,09:15,BRONX,10186,40.722849,-74.228837,POINT (-74.228837 40.722849),BROADWAY,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,,,,4001123,Bus,Sedan,,,
2023-01-10,08:00,QUEENS,10665,40.861193,-74.18055,POINT (-74.18055 40.861193),NORTHERN BOULEVARD,,,2,0,1,0,0,0,0,0,Backing Unsafely,Following Too Closely,,,,4003703,TAXI,Sedan,,,
2023-06-14,05:00,BROOKLYN,10183,40.531809,-74.199653,POINT (-74.199653 40.531809),QUEENS BOULEVARD,BELT PARKWAY,,2,0,0,0,1,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,4004739,Sedan,Sedan,,,
2023-01-11,22:15,BROOKLYN,11072,40.913476,-73.900261,POINT (-73.900261 40.913476),BROADWAY,,,0,0,0,0,0,0,0,0,,Failure to Yield Right-of-Way,,,,4003055,Motorcycle,,TAXI,,
2023-07-02,16:30,MANHATTAN,10475,40.6041,-74.038803,POINT (-74.038803 40.6041),HYLAN BOULEVARD,CANAL STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Traffic Control Disregarded,Unknown,,,4003090,TAXI,Sedan,,,
2023-12-23,13:30,BROOKLYN,10198,,,,CANAL STREET,ATLANTIC AVENUE,,2,0,0,0,0,0,0,0,Unspecified,Unknown,,,,4004405,E-Bike,,Box Truck,,
2023-07-04,09:30,MANHATTAN,10959,40.74918,-73.974296,POINT (-73.974296 40.74918),ATLANTIC AVENUE,BROADWAY,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,4001539,Station Wagon/Sport Utility Vehicle,,,,
2023-11-06,04:00,QUEENS,11486,40.890625,-73.798777,POINT (-73.798777 40.890625),QUEENS BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4003458,Station Wagon/Sport Utility Vehicle,Van,,,
2023-11-29,19:00,BRONX,10773,40.545474,-74.05291,POINT (-74.05291 40.545474),BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4002236,Bus,TAXI,,,
2023-10-07,20:30,MANHATTAN,,40.597186,-73.899602,POINT (-73.899602 40.597186),FLATBUSH AVENUE,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Backing Unsafely,Following Too Closely,,,,4001907,TAXI,,,,
2023-03-19,09:30,MANHATTAN,10676,40.528165,-73.864445,POINT (-73.864445 40.528165),CANAL STREET,QUEENS BOULEVARD,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Backing Unsafely,,,,4001618,Sedan,Sedan,,,
2023-06-05,19:45,BROOKLYN,11355,40.796705,-73.885486,POINT (-73.885486 40.796705),LINDEN BOULEVARD,HYLAN BOULEVARD,PARKING LOT,3,0,0,0,0,0,0,0,Following Too Closely,Backing Unsafely,,,,4001023,Van,Sedan,,,
2023-03-15,04:00,BROOKLYN,11353,40.69881,-73.836983,POINT (-73.836983 40.69881),LINDEN BOULEVARD,LINDEN BOULEVARD,PARKING LOT,1,0,1,0,1,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4004522,Box Truck,Sedan,,,
2023-04-05,03:30,BROOKLYN,10987,40.675976,-74.226906,POINT (-74.226906 40.675976),JEROME AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unknown,,,4003114,TAXI,Motorcycle,,,
2023-06-28,02:15,,,,,,,,,2,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Backing Unsafely,,,,4001718,TAXI,Bike,,,
2023-08-15,21:30,STATEN ISLAND,10922,40.726391,-74.01668,POINT (-74.01668 40.726391),CANAL STREET,FLATBUSH AVENUE,,1,0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,4002361,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
2023-02-01,10:45,STATEN ISLAND,,40.788369,-74.171241,POINT (-74.171241 40.788369),NORTHERN BOULEVARD,,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4004221,TAXI,Box Truck,,,
2023-01-21,17:45,BRONX,11304,40.563548,-73.876452,POINT (-73.876452 40.563548),HYLAN BOULEVARD,NORTHERN BOULEVARD,,3,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4000809,Motorcycle,Van,,,
2023-02-28,10:00,BROOKLYN,11697,40.603028,-74.205429,POINT (-74.205429 40.603028),BELT PARKWAY,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4004804,Van,,,,
2023-01-18,20:30,BROOKLYN,11673,40.894869,-73.794994,POINT (-73.794994 40.894869),HYLAN BOULEVARD,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,4000978,Station Wagon/Sport Utility Vehicle,,,,
2023-02-03,16:15,QUEENS,10874,40.647788,-74.068425,POINT (-74.068425 40.647788),BROADWAY,FLATBUSH AVENUE,,0,1,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unspecified,,,4004545,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
2023-02-14,13:00,MANHATTAN,11112,40.618915,-74.124175,POINT (-74.124175 40.618915),BOSTON ROAD,CANAL STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4002804,Station Wagon/Sport Utility Vehicle,TAXI,,,
2023-04-30,03:15,MANHATTAN,10114,40.615102,-73.792495,POINT (-73.792495 40.615102),FLATBUSH AVENUE,BELT PARKWAY,,1,0,0,0,0,0,0,0,,Failure to Yield Right-of-Way,,,,4004075,Box Truck,Bus,,,
2023-10-24,05:30,,,,,,NORTHERN BOULEVARD,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Following Too Closely,,,,4004984,Pick-up Truck,Motorcycle,,,
2023-01-25,12:15,QUEENS,11463,,,,HYLAN BOULEVARD,,,1,0,1,0,0,0,0,0,Unspecified,Failure to Yield Right-of-Way,,,,4004415,,,,,
2023-01-12,19:30,QUEENS,10568,,,,HYLAN BOULEVARD,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,4001503,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-02-15,22:00,STATEN ISLAND,10275,,,,CANAL STREET,FLATBUSH AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Turning Improperly,,,,4002726,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-12-26,04:00,MANHATTAN,11495,,,,BELT PARKWAY,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4002776,Station Wagon/Sport Utility Vehicle,Bus,,,
2023-03-19,02:45,STATEN ISLAND,10271,40.639794,-73.954186,POINT (-73.954186 40.639794),FLATBUSH AVENUE,,,2,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,4003699,,Pick-up Truck,,,
2023-07-01,00:00,QUEENS,10755,40.591511,-73.775004,POINT (-73.775004 40.591511),LINDEN BOULEVARD,BELT PARKWAY,,0,0,0,0,0,0,0,0,Unknown,Unspecified,,,,4001894,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Van,,
2023-01-23,09:15,BROOKLYN,10997,40.823608,-73.96713,POINT (-73.96713 40.823608),JEROME AVENUE,BROADWAY,,0,0,0,0,0,0,0,0,,,,,,4000174,Box Truck,,,,
2023-11-04,01:45,QUEENS,10341,40.794271,-73.985076,POINT (-73.985076 40.794271),NORTHERN BOULEVARD,,,2,0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,4004881,Sedan,Sedan,,,
2023-02-17,04:45,BROOKLYN,10373,40.653455,-74.060687,POINT (-74.060687 40.653455),GRAND CONCOURSE,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,4004243,Bike,Sedan,,,
2023-05-17,12:15,MANHATTAN,,40.706142,-74.011238,POINT (-74.011238 40.706142),GRAND CONCOURSE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,,,,4002687,TAXI,Sedan,,,
2023-03-04,04:30,BROOKLYN,10751,40.812695,-73.999114,POINT (-73.999114 40.812695),BELT PARKWAY,NORTHERN BOULEVARD,,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Failure to Yield Right-of-Way,,,,4004554,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-11-01,18:00,QUEENS,10913,40.564343,-73.879501,POINT (-73.879501 40.564343),GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4000217,TAXI,Sedan,TAXI,,
2023-09-28,16:45,STATEN ISLAND,10904,40.77291,-73.70623,POINT (-73.70623 40.77291),BELT PARKWAY,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4004087,TAXI,TAXI,,,
2023-10-21,20:30,BRONX,11589,40.709456,-73.902939,POINT (-73.902939 40.709456),,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,,,Unsafe Speed,,,4003883,Motorcycle,TAXI,,,
2023-11-03,13:45,QUEENS,11014,40.581532,-73.873677,POINT (-73.873677 40.581532),BELT PARKWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Turning Improperly,,,,4001444,TAXI,Station Wagon/Sport Utility Vehicle,,,
2023-07-08,07:15,STATEN ISLAND,10224,,,,LINDEN BOULEVARD,,,2,0,0,0,0,0,0,0,Traffic Control Disregarded,Following Too Closely,,,,4000690,Sedan,Pick-up Truck,,,
2023-06-26,13:45,BROOKLYN,,40.813757,-73.703751,POINT (-73.703751 40.813757),,BELT PARKWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4002686,Station Wagon/Sport Utility Vehicle,Bike,,,
2023-07-07,08:30,BROOKLYN,10943,,,,GRAND CONCOURSE,ATLANTIC AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4004815,Bus,Sedan,,,
2023-04-02,00:45,BROOKLYN,11318,40.677898,-74.116261,POINT (-74.116261 40.677898),QUEENS BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4004140,Van,TAXI,,,
2023-09-27,21:30,MANHATTAN,11116,40.90244,-74.024958,POINT (-74.024958 40.90244),BOSTON ROAD,,,0,0,0,0,0,0,0,0,Unspecified,Traffic Control Disregarded,,,,4001106,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-01-18,04:00,,,,,,HYLAN BOULEVARD,LINDEN BOULEVARD,,1,1,1,0,0,0,0,0,Pavement Slippery,Unsafe Speed,Traffic Control Disregarded,,,4003652,,,,,
2023-01-12,16:00,STATEN ISLAND,11548,40.658345,-73.72834,POINT (-73.72834 40.658345),BELT PARKWAY,NORTHERN BOULEVARD,,4,0,0,0,1,0,0,0,Unspecified,,Driver Inattention/Distraction,,,4002036,Sedan,TAXI,,,
2023-11-09,07:15,STATEN ISLAND,10258,40.566277,-73.797225,POINT (-73.797225 40.566277),LINDEN BOULEVARD,BOSTON ROAD,,3,0,1,0,0,0,0,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,4002099,Motorcycle,Sedan,,,
2023-07-10,02:30,MANHATTAN,10867,40.522486,-74.13158,POINT (-74.13158 40.522486),BELT PARKWAY,BROADWAY,,0,0,0,0,0,0,0,0,Pavement Slippery,Failure to Yield Right-of-Way,,,,4000611,Sedan,Unknown,,,
2023-11-14,11:30,BROOKLYN,10063,40.641616,-74.002243,POINT (-74.002243 40.641616),BELT PARKWAY,,,1,0,0,0,0,0,0,0,Unspecified,Unknown,Following Too Closely,,,4004100,Station Wagon/Sport Utility Vehicle,Box Truck,Bike,,
2023-04-12,15:45,MANHATTAN,11470,40.643335,-74.111033,POINT (-74.111033 40.643335),BELT PARKWAY,BOSTON ROAD,,1,0,0,0,0,0,1,0,Unsafe Speed,Failure to Yield Right-of-Way,,,,4003665,Pick-up Truck,Sedan,Motorcycle,,
2023-05-15,15:15,MANHATTAN,11257,40.862063,-73.900893,POINT (-73.900893 40.862063),BROADWAY,BROADWAY,,3,0,0,0,0,0,1,0,Unspecified,Passing or Lane Usage Improper,,,,4003873,Sedan,TAXI,,,
2023-04-15,15:15,BROOKLYN,,40.87479,-73.858174,POINT (-73.858174 40.87479),NORTHERN BOULEVARD,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unknown,,,,4000576,Pick-up Truck,,,,
2023-02-07,15:30,MANHATTAN,,40.907282,-73.996828,POINT (-73.996828 40.907282),JEROME AVENUE,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4004459,Unknown,Motorcycle,,,
2023-12-07,23:30,QUEENS,10316,40.534952,-73.815093,POINT (-73.815093 40.534952),NORTHERN BOULEVARD,,,2,0,0,0,0,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,,,,4004528,Sedan,Motorcycle,,,
2023-05-12,02:30,BRONX,10048,40.754935,-74.062414,POINT (-74.062414 40.754935),GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unknown,,,,4001180,Station Wagon/Sport Utility Vehicle,Bus,,,
2023-01-11,20:45,BRONX,10403,40.85526,-74.182193,POINT (-74.182193 40.85526),QUEENS BOULEVARD,,,2,0,2,0,0,0,0,0,Unspecified,Unspecified,,,,4000888,Box Truck,Sedan,Bus,,
2023-05-05,06:00,QUEENS,,40.782788,-74.233859,POINT (-74.233859 40.782788),FLATBUSH AVENUE,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4004049,Station Wagon/Sport Utility Vehicle,,,,
2023-07-21,14:45,,,,,,GRAND CONCOURSE,CANAL STREET,,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,4001932,TAXI,Sedan,,,
2023-02-23,03:45,QUEENS,10093,40.681759,-73.75499,POINT (-73.75499 40.681759),,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4004927,TAXI,Station Wagon/Sport Utility Vehicle,,,
2023-07-08,10:00,BRONX,,40.841742,-73.737164,POINT (-73.737164 40.841742),JEROME AVENUE,BROADWAY,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4000817,Sedan,Sedan,,,
2023-09-14,03:30,QUEENS,10851,40.533229,-73.801813,POINT (-73.801813 40.533229),BOSTON ROAD,,,2,0,0,0,0,0,0,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,4003423,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2023-10-27,00:30,MANHATTAN,10049,40.60627,-74.23296,POINT (-74.23296 40.60627),NORTHERN BOULEVARD,,,1,0,0,0,0,0,0,0,Following Too Closely,,,,,4004518,Station Wagon/Sport Utility Vehicle,,,,
2023-01-31,11:15,MANHATTAN,10123,40.642137,-73.716692,POINT (-73.716692 40.642137),HYLAN BOULEVARD,FLATBUSH AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,Pavement Slippery,,,,4000208,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-12-08,10:15,MANHATTAN,11030,40.542024,-73.878689,POINT (-73.878689 40.542024),LINDEN BOULEVARD,BROADWAY,,1,0,0,0,0,0,0,0,Unspecified,Backing Unsafely,Pavement Slippery,,,4000293,Sedan,Sedan,Box Truck,,
2023-04-25,16:15,STATEN ISLAND,11016,40.644457,-73.869455,POINT (-73.869455 40.644457),FLATBUSH AVENUE,,,1,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4001119,Pick-up Truck,,,,
2023-12-18,21:45,,,,,,GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4004698,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-02-05,00:30,BROOKLYN,10815,40.880157,-74.040865,POINT (-74.040865 40.880157),BOSTON ROAD,NORTHERN BOULEVARD,,1,0,0,0,0,0,0,0,Unsafe Speed,,,,,4002835,Box Truck,,,,
2023-05-27,09:00,QUEENS,10549,,,,GRAND CONCOURSE,NORTHERN BOULEVARD,,3,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Turning Improperly,,,,4001264,Station Wagon/Sport Utility Vehicle,TAXI,,,
2023-09-22,12:00,BROOKLYN,10796,40.73332,-74.003367,POINT (-74.003367 40.73332),ATLANTIC AVENUE,BELT PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,4000990,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-07-06,09:30,MANHATTAN,10708,40.882741,-74.096646,POINT (-74.096646 40.882741),GRAND CONCOURSE,QUEENS BOULEVARD,,0,1,0,0,0,0,0,0,Unspecified,,,,,4002369,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
2023-01-04,15:00,MANHATTAN,11055,,,,HYLAN BOULEVARD,,,3,0,0,0,0,0,0,0,Following Too Closely,,,,,4004284,Sedan,,,,
2023-06-13,17:45,BROOKLYN,11275,40.644164,-73.889958,POINT (-73.889958 40.644164),BOSTON ROAD,,,1,0,0,0,0,0,0,0,Unspecified,,,,,4003654,Pick-up Truck,,,,
2023-01-20,17:15,STATEN ISLAND,,,,,BOSTON ROAD,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4000353,Bike,Sedan,,,
2023-10-16,06:00,STATEN ISLAND,,40.859197,-73.767247,POINT (-73.767247 40.859197),BELT PARKWAY,BROADWAY,,1,0,0,0,1,0,1,0,Traffic Control Disregarded,Turning Improperly,,,,4003333,Pick-up Truck,TAXI,,,
2023-03-08,08:30,QUEENS,,,,,JEROME AVENUE,CANAL STREET,,1,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Turning Improperly,,,4001593,Bike,Pick-up Truck,,,
2023-04-25,02:30,MANHATTAN,10700,40.883925,-74.011649,POINT (-74.011649 40.883925),NORTHERN BOULEVARD,QUEENS BOULEVARD,,1,0,1,0,0,0,0,0,Passing or Lane Usage Improper,Pavement Slippery,,,,4004040,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-03-06,02:15,,,,,,QUEENS BOULEVARD,CANAL STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4001489,Box Truck,Sedan,,,
2023-07-22,11:15,MANHATTAN,,40.795441,-74.074061,POINT (-74.074061 40.795441),BELT PARKWAY,BOSTON ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4003799,Bike,Pick-up Truck,,,
2023-09-24,04:15,MANHATTAN,11138,40.502479,-73.937057,POINT (-73.937057 40.502479),BELT PARKWAY,BROADWAY,,4,0,2,0,0,0,0,0,Unknown,Backing Unsafely,,,,4002893,Sedan,Sedan,Van,,
2023-01-24,15:00,BROOKLYN,11468,40.569303,-73.848582,POINT (-73.848582 40.569303),GRAND CONCOURSE,,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4004058,Station Wagon/Sport Utility Vehicle,,,,
2023-01-06,13:00,MANHATTAN,11320,40.789294,-74.131108,POINT (-74.131108 40.789294),CANAL STREET,GRAND CONCOURSE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,4001228,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2023-12-26,20:15,BROOKLYN,,40.697912,-73.74509,POINT (-73.74509 40.697912),ATLANTIC AVENUE,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Driver Inattention/Distraction,,,,4000259,Pick-up Truck,Bus,Pick-up Truck,,
2023-01-11,16:00,MANHATTAN,10399,40.693677,-74.090392,POINT (-74.090392 40.693677),,BROADWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,4001629,Pick-up Truck,Motorcycle,Sedan,,
2023-03-08,01:30,QUEENS,11525,,,,GRAND CONCOURSE,FLATBUSH AVENUE,PARKING LOT,2,0,0,0,1,0,0,0,Backing Unsafely,Unspecified,,,,4004919,Sedan,Station Wagon/Sport Utility Vehicle,Van,,
2023-03-02,00:45,BRONX,,40.759939,-74.154907,POINT (-74.154907 40.759939),,,,0,0,0,0,0,0,0,0,Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,,4004837,Van,Station Wagon/Sport Utility Vehicle,,,
2023-10-11,05:00,QUEENS,10550,,,,ATLANTIC AVENUE,CANAL STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4001897,Pick-up Truck,,,,
2023-12-09,22:15,MANHATTAN,10227,40.691336,-73.968361,POINT (-73.968361 40.691336),QUEENS BOULEVARD,BELT PARKWAY,,3,0,0,0,0,0,0,0,Unsafe Speed,Following Too Closely,,,,4002647,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-04-03,04:45,QUEENS,10013,40.795133,-74.080058,POINT (-74.080058 40.795133),BROADWAY,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4000052,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-12-08,15:00,,,,,,FLATBUSH AVENUE,ATLANTIC AVENUE,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4002287,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-07-18,11:30,BROOKLYN,11450,40.688913,-73.912769,POINT (-73.912769 40.688913),,,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,4003312,Pick-up Truck,TAXI,,,
